,Plan 300,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500

,$899,$0,$0,$0,$0,$0,$0
,$1299,$999,$499,$0,$0,$0,$0
,$0,$0
,$999,$0,$0,$0,$0,$0,$0


,$11999,$9099,$8229,$7979,$7479,$6979,$5729

,$3999,$3199,$2599,$2299,$1299,$0,$0
,$5899,$5549,$5349,$5149,$4749,$3999,$0
,$1299,$999,$499,$0,$0,$0,$0
,$1459,$899,$699,$0,$0,$0,$0
,$3999,$2999,$2299,$0,$0,$0,$0
,$3999,$2999,$2299,$0,$0,$0,$0
,$6999,$6799,$6499,$6299,$5199,$4399,$0
,$9329,$8399,$8099,$7099,$5599,$4799,$2399

,$2139,$1599,$1399,$0,$0,$0,$0
,$3999,$3099,$2499,$2199,$1199,$0,$0
,$4399,$4099,$3899,$3599,$3099,$2599,$0
,$12799,$12599,$12299,$9999,$8899,$7799,$5099
,$10899,$10699,$10399,$8099,$6999,$5899,$3199
