,Plan 300,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
















,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$4599,$0,$0,$0
 32 GB,$5999,$4299,$0,$0
 64 GB,$7499,$5799,$2799,$0
,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$7679,$5979,$4279,$1679
 64 GB,$9379,$7679,$5979,$2179
 128 GB,$11059,$9359,$7759,$3559
,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$5989,$4189,$2579,$1589
 64 GB,$7579,$5879,$4279,$2079
 128 GB,$9379,$7679,$5979,$2779








