,Plan 300,Plan 400,Plan 500,Plan 600,Plan 800,Plan 1000,Plan 1500
















,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$5849,$4599,$3299,$0
 32 GB,$7329,$6049,$4799,$1649
 64 GB,$8799,$7549,$6299,$3149
,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$8909,$7679,$6379,$3229
 64 GB,$10629,$9379,$8129,$4979
 128 GB,$12329,$11059,$9809,$6659
,Plan 600,Plan 800,Plan 1000,Plan 1500
 16 GB,$7189,$5989,$4689,$2199
 64 GB,$8909,$7579,$6379,$3229
 128 GB,$10629,$9379,$8129,$4959








